"symbol","overallAssociationScore","geneticAssociations","somaticMutations","drugs","pathwaysSystemsBiology","textMining","rnaExpression","animalModels","targetName"
"PRSS1",0.8343844620648116,0.9183390021590296,"No data","No data","No data",0.1838682865290527,"No data",0.5693580106773287,"serine protease 1"
"SPINK1",0.8047831715001096,0.8862311248507138,"No data","No data","No data",0.23856390277427408,"No data",0.3298784490540059,"serine peptidase inhibitor Kazal type 1"
"CTRC",0.7400349756824839,0.8910696416923192,"No data","No data","No data",0.09941106709313025,"No data",0.29290105828927904,"chymotrypsin C"
"CFTR",0.696967827571287,0.9074161629304885,"No data","No data","No data",0.2678564156117781,"No data",0.3978335055391351,"CF transmembrane conductance regulator"
"VDR",0.3695798546847018,"No data","No data",0.607930797611621,"No data","No data","No data","No data","vitamin D receptor"
"UTRN",0.32740681368793995,0.5385593475017613,"No data","No data","No data","No data","No data","No data","utrophin"
"SCN4A",0.32707817139596107,"No data","No data",0.5380187558862847,"No data","No data","No data","No data","sodium voltage-gated channel alpha subunit 4"
"NR3C1",0.3233823728491141,"No data","No data",0.5319394479101685,"No data","No data","No data","No data","nuclear receptor subfamily 3 group C member 1"
"CDKN2A",0.29581044924544003,"No data",0.4559480982087158,"No data","No data",0.6127525799017898,"No data","No data","cyclin dependent kinase inhibitor 2A"
"KRAS",0.27810884065023805,"No data",0.4559480982087158,"No data","No data",0.030396539880581056,"No data","No data","KRAS proto-oncogene, GTPase"
"SMAD4",0.27810884065023805,"No data",0.4559480982087158,"No data","No data",0.030396539880581056,"No data","No data","SMAD family member 4"
"MORC4",0.2691113812761573,0.4426677877373802,"No data","No data","No data","No data","No data","No data","MORC family CW-type zinc finger 4"
"BRAF",0.1847899273423509,"No data",0.3039653988058105,"No data","No data","No data","No data","No data","B-Raf proto-oncogene, serine/threonine kinase"
"GNAS",0.1847899273423509,"No data",0.3039653988058105,"No data","No data","No data","No data","No data","GNAS complex locus"
"SAR1B",0.11826555349910459,0.19453785523571876,"No data","No data","No data","No data","No data","No data","secretion associated Ras related GTPase 1B"
"NGFR",0.09161473953350774,"No data","No data","No data","No data",0.7534964497064036,"No data","No data","nerve growth factor receptor"
"CXCR2",0.0836677460470792,"No data","No data",0.12158615952232422,"No data",0.030396539880581056,"No data",0.3073090181926744,"C-X-C motif chemokine receptor 2"
"HNF1B",0.0770189299143917,0.00021395190360222704,"No data","No data","No data",0.18204149995147983,"No data",0.5878222199581217,"HNF1 homeobox B"
"CACNA2D1",0.07631823999239092,"No data","No data",0.12158615952232422,"No data",0.07903100368951074,"No data","No data","calcium voltage-gated channel auxiliary subunit alpha2delta 1"
"MEN1",0.07625344791207837,"No data","No data","No data","No data","No data","No data",0.6271556582727462,"menin 1"
"PTGS2",0.07483992057365212,"No data","No data",0.12158615952232422,"No data",0.030396539880581056,"No data","No data","prostaglandin-endoperoxide synthase 2"
"CXCR1",0.07447034071896741,"No data","No data",0.12158615952232422,"No data",0.01823792392834863,"No data","No data","C-X-C motif chemokine receptor 1"
"PDX1",0.07418386325164998,"No data","No data","No data","No data","No data","No data",0.6101341101906357,"pancreatic and duodenal homeobox 1"
"CUL4A",0.07391597093694036,"No data","No data",0.12158615952232422,"No data","No data","No data","No data","cullin 4A"
"NGF",0.07391597093694036,"No data","No data",0.12158615952232422,"No data","No data","No data","No data","nerve growth factor"
"RBX1",0.07391597093694036,"No data","No data",0.12158615952232422,"No data","No data","No data","No data","ring-box 1"
"S100A9",0.07391597093694036,"No data","No data","No data","No data",0.607930797611621,"No data","No data","S100 calcium binding protein A9"
"CRBN",0.07391597093694036,"No data","No data",0.12158615952232422,"No data","No data","No data","No data","cereblon"
"DDB1",0.07391597093694036,"No data","No data",0.12158615952232422,"No data","No data","No data","No data","damage specific DNA binding protein 1"
"PTGS1",0.07391597093694036,"No data","No data",0.12158615952232422,"No data","No data","No data","No data","prostaglandin-endoperoxide synthase 1"
"BHLHA15",0.06709208357241599,"No data","No data","No data","No data","No data","No data",0.5518069148330762,"basic helix-loop-helix family member a15"
"PCSK2",0.06603520343681026,"No data","No data","No data","No data","No data","No data",0.5431144769786536,"proprotein convertase subtilisin/kexin type 2"
