ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
206211_at	0.0000195	1.64e-09	-28.9885	9.47144	-5.1611357	SELE	selectin E
823_at	0.0000195	1.75e-09	-28.741809	9.44724	-4.5710888	CX3CL1	C-X3-C motif chemokine ligand 1
205476_at	0.0000298	4.01e-09	-25.939548	9.13456	-6.4977293	CCL20	C-C motif chemokine ligand 20
203868_s_at	0.0000968	1.74e-08	-21.618806	8.47363	-5.2444856	VCAM1	vascular cell adhesion molecule 1
219424_at	0.0001822	4.09e-08	-19.428846	8.02132	-4.6212497	EBI3	Epstein-Barr virus induced 3
210229_s_at	0.0002119	5.71e-08	-18.63412	7.8314	-5.0370988	CSF2	colony stimulating factor 2
205890_s_at	0.0002365	7.93e-08	-17.881542	7.63683	-5.4997512	UBD///GABBR1	ubiquitin D///gamma-aminobutyric acid type B receptor subunit 1
202643_s_at	0.0002365	8.49e-08	-17.728114	7.59528	-2.8025868	TNFAIP3	TNF alpha induced protein 3
202637_s_at	0.0002656	1.07e-07	-17.214447	7.45124	-3.9026907	ICAM1	intercellular adhesion molecule 1
209795_at	0.0003577	1.61e-07	-16.362893	7.19459	-4.2219799	CD69	CD69 molecule
210538_s_at	0.0003957	1.95e-07	-15.962685	7.06566	-4.2678234	BIRC3	baculoviral IAP repeat containing 3
202638_s_at	0.0004847	2.61e-07	-15.388615	6.87068	-4.2326109	ICAM1	intercellular adhesion molecule 1
207850_at	0.0006328	3.91e-07	-14.619157	6.58928	-4.4349285	CXCL3	C-X-C motif chemokine ligand 3
207339_s_at	0.0006328	3.98e-07	-14.589472	6.57793	-4.2866203	LTB	lymphotoxin beta
209545_s_at	0.000746	5.19e-07	-14.105274	6.38743	-2.1843344	RIPK2	receptor interacting serine/threonine kinase 2
211506_s_at	0.000746	5.36e-07	-14.047234	6.36389	-4.0765178	CXCL8	C-X-C motif chemokine ligand 8
212977_at	0.0007595	5.79e-07	-13.907439	6.30655	-3.1573103	ACKR3	atypical chemokine receptor 3
202644_s_at	0.0009814	8.84e-07	-13.178201	5.99212	-3.8082956	TNFAIP3	TNF alpha induced protein 3
210056_at	0.0009814	9.41e-07	-13.073472	5.94476	-2.7188036	RND1	Rho family GTPase 1
209716_at	0.0009814	9.79e-07	-13.005913	5.9139	-3.2758975	CSF1	colony stimulating factor 1
205205_at	0.0009814	9.89e-07	-12.990353	5.90676	-2.0744346	RELB	RELB proto-oncogene, NF-kB subunit
203687_at	0.0009814	1.01e-06	-12.959399	5.89251	-4.4800133	CX3CL1	C-X3-C motif chemokine ligand 1
209099_x_at	0.0009814	1.01e-06	-12.949955	5.88815	-2.4407986	JAG1	jagged 1
219209_at	0.0010405	1.12e-06	-12.783404	5.81052	-4.4012206	IFIH1	interferon induced with helicase C domain 1
202023_at	0.0015582	1.75e-06	-12.073229	5.46192	-2.5829897	EFNA1	ephrin A1
221903_s_at	0.0015723	1.83e-06	-11.998399	5.42345	-1.685333	CYLD	CYLD lysine 63 deubiquitinase
202531_at	0.0017882	2.17e-06	-11.743439	5.28977	-1.7063769	IRF1	interferon regulatory factor 1
204470_at	0.0019493	2.50e-06	-11.528513	5.17385	-2.690204	CXCL1	C-X-C motif chemokine ligand 1
206618_at	0.0019493	2.59e-06	-11.472871	5.14335	-3.0375615	IL18R1	interleukin 18 receptor 1
214974_x_at	0.0019493	2.62e-06	-11.455905	5.13401	-3.1564277	CXCL5	C-X-C motif chemokine ligand 5
216268_s_at	0.0025299	3.52e-06	-11.027663	4.89174	-2.317515	JAG1	jagged 1
216598_s_at	0.0026	3.73e-06	-10.94317	4.84243	-3.3677709	CCL2	C-C motif chemokine ligand 2
205290_s_at	0.0041872	6.20e-06	-10.241114	4.41219	-2.0169126	BMP2	bone morphogenetic protein 2
205681_at	0.0042517	6.49e-06	-10.180579	4.37331	-2.8868503	BCL2A1	BCL2 related protein A1
202269_x_at	0.0052879	8.31e-06	-9.85479	4.15889	-2.1886902	GBP1	guanylate binding protein 1
205289_at	0.0052932	8.65e-06	-9.802897	4.12392	-2.2795635	BMP2	bone morphogenetic protein 2
202307_s_at	0.0052932	8.79e-06	-9.781463	4.10941	-2.2349369	TAP1	transporter 1, ATP binding cassette subfamily B member
220655_at	0.0053675	9.15e-06	-9.729136	4.07382	-2.6154881	TNIP3	TNFAIP3 interacting protein 3
